dataset,encoder,head,K,seed,top1,n_train,epochs_run,best_epoch,timestamp
dtd,resnet18,prototypes,5,0,0.47819,235,,,2026-07-30T11:33:44+00:00
dtd,resnet18,prototypes,5,1,0.46649,235,,,2026-07-30T11:33:44+00:00
dtd,resnet18,prototypes,5,2,0.46915,235,,,2026-07-30T11:33:44+00:00
dtd,resnet18,prototypes,10,0,0.52606,470,,,2026-07-30T11:33:44+00:00
dtd,resnet18,prototypes,10,1,0.50851,470,,,2026-07-30T11:33:44+00:00
dtd,resnet18,prototypes,10,2,0.51223,470,,,2026-07-30T11:33:44+00:00
dtd,resnet18,prototypes,full,0,0.58777,1880,,,2026-07-30T11:33:44+00:00
aircraft,resnet18,prototypes,5,0,0.16202,500,,,2026-07-30T11:33:44+00:00
aircraft,resnet18,prototypes,5,1,0.16292,500,,,2026-07-30T11:33:44+00:00
aircraft,resnet18,prototypes,5,2,0.16682,500,,,2026-07-30T11:33:44+00:00
aircraft,resnet18,prototypes,10,0,0.19922,1000,,,2026-07-30T11:33:44+00:00
aircraft,resnet18,prototypes,10,1,0.19532,1000,,,2026-07-30T11:33:44+00:00
aircraft,resnet18,prototypes,10,2,0.19622,1000,,,2026-07-30T11:33:44+00:00
aircraft,resnet18,prototypes,full,0,0.25503,3334,,,2026-07-30T11:33:44+00:00
aircraft,dinov2_vits14,prototypes,5,0,0.24092,500,,,2026-07-30T11:33:44+00:00
aircraft,dinov2_vits14,prototypes,5,1,0.24572,500,,,2026-07-30T11:33:44+00:00
aircraft,dinov2_vits14,prototypes,5,2,0.24332,500,,,2026-07-30T11:33:44+00:00
aircraft,dinov2_vits14,prototypes,10,0,0.26433,1000,,,2026-07-30T11:33:45+00:00
aircraft,dinov2_vits14,prototypes,10,1,0.28833,1000,,,2026-07-30T11:33:45+00:00
aircraft,dinov2_vits14,prototypes,10,2,0.27273,1000,,,2026-07-30T11:33:45+00:00
aircraft,dinov2_vits14,prototypes,full,0,0.34263,3334,,,2026-07-30T11:33:45+00:00
dtd,resnet18,linear,5,0,0.4633,235,200,23,2026-07-30T12:02:12+00:00
dtd,resnet18,linear,5,1,0.45372,235,200,200,2026-07-30T12:02:13+00:00
dtd,resnet18,linear,5,2,0.46755,235,200,52,2026-07-30T12:02:13+00:00
dtd,resnet18,linear,10,0,0.52606,470,200,39,2026-07-30T12:02:13+00:00
dtd,resnet18,linear,10,1,0.51809,470,200,171,2026-07-30T12:02:14+00:00
dtd,resnet18,linear,10,2,0.51862,470,200,22,2026-07-30T12:02:14+00:00
dtd,resnet18,linear,full,0,0.63138,1880,200,21,2026-07-30T12:02:15+00:00
dtd,resnet18,linear,full,1,0.62234,1880,200,23,2026-07-30T12:02:17+00:00
dtd,resnet18,linear,full,2,0.62287,1880,200,14,2026-07-30T12:02:18+00:00
aircraft,resnet18,linear,5,0,0.20642,500,200,185,2026-07-30T12:02:19+00:00
aircraft,resnet18,linear,5,1,0.20012,500,200,193,2026-07-30T12:02:19+00:00
aircraft,resnet18,linear,5,2,0.20582,500,200,173,2026-07-30T12:02:20+00:00
aircraft,resnet18,linear,10,0,0.26643,1000,200,197,2026-07-30T12:02:21+00:00
aircraft,resnet18,linear,10,1,0.27003,1000,200,51,2026-07-30T12:02:22+00:00
aircraft,resnet18,linear,10,2,0.27063,1000,200,169,2026-07-30T12:02:23+00:00
aircraft,resnet18,linear,full,0,0.38014,3334,200,108,2026-07-30T12:02:27+00:00
aircraft,resnet18,linear,full,1,0.38374,3334,200,53,2026-07-30T12:02:30+00:00
aircraft,resnet18,linear,full,2,0.37834,3334,200,64,2026-07-30T12:02:34+00:00
aircraft,dinov2_vits14,linear,5,0,0.36604,500,200,195,2026-07-30T12:02:34+00:00
aircraft,dinov2_vits14,linear,5,1,0.37114,500,200,195,2026-07-30T12:02:35+00:00
aircraft,dinov2_vits14,linear,5,2,0.36274,500,200,200,2026-07-30T12:02:36+00:00
aircraft,dinov2_vits14,linear,10,0,0.50435,1000,200,195,2026-07-30T12:02:37+00:00
aircraft,dinov2_vits14,linear,10,1,0.50555,1000,200,188,2026-07-30T12:02:38+00:00
aircraft,dinov2_vits14,linear,10,2,0.50675,1000,200,195,2026-07-30T12:02:39+00:00
aircraft,dinov2_vits14,linear,full,0,0.67717,3334,200,128,2026-07-30T12:02:42+00:00
aircraft,dinov2_vits14,linear,full,1,0.67597,3334,200,90,2026-07-30T12:02:45+00:00
aircraft,dinov2_vits14,linear,full,2,0.67747,3334,200,131,2026-07-30T12:02:48+00:00
